,scan,precursormz,totalIonCurrent,injectTime,scanTime
1104,16024,437.224914550781,1067984.875,107.275611877441,44.4680076712
1105,16025,496.721313476563,840332.6875,226.164245605469,44.470074398933
1106,16026,638.285278320313,540429.25,313.995697021484,44.474123623733
1107,16027,483.710205078125,3122103.5,54.632331848145,44.479666341333
1108,16029,423.227386474609,3660393.0,58.162208557129,44.483880971467
1109,16030,538.737487792969,888988.625,188.222229003906,44.48518856
1110,16031,533.247680664063,324494.5,425.441192626953,44.4886050224
1111,16032,503.218902587891,1626798.5,100.782981872559,44.495974761333
1112,16033,486.216186523438,5192329.5,32.775943756104,44.497934138133
1113,16034,416.221588134766,1916690.5,70.053047180176,44.498760655467
1114,16035,495.758697509766,550733.4375,241.955871582031,44.5002075984
1115,16036,437.224914550781,2149438.25,149.375518798828,44.504520589867
1116,16037,496.721313476563,504221.8125,183.256591796875,44.50729080745
1117,16038,638.285278320313,769953.5,279.593139648438,44.510635711183
1118,16039,483.710205078125,4856127.0,61.433582305908,44.515575836533
1119,16041,423.227386474609,3193220.25,54.977451324463,44.519910886667
1120,16042,538.737487792969,826142.75,172.070785522461,44.521165739733
1121,16043,533.247680664063,320686.6875,442.372711181641,44.52431376425
1122,16044,503.218902587891,1414117.625,101.657745361328,44.531967888517
1123,16045,486.216186523438,3962862.75,43.24609375,44.53394236825
1124,16046,416.221588134766,1621764.875,90.135704040527,44.534944506917
1125,16047,495.758697509766,564240.5,268.535430908203,44.536724262383
1126,16048,437.224914550781,3133182.25,81.859260559082,44.541479750667
1127,16049,496.721313476563,430017.8125,291.731994628906,44.543124579983
1128,16050,638.285278320313,739864.6875,199.325164794922,44.5482978144
1129,16051,483.710205078125,3819432.5,45.116317749023,44.551898662383
1130,16053,423.227386474609,3209601.75,58.422260284424,44.555961514133
1131,16054,538.737487792969,865963.0625,174.720901489258,44.5572743912
1132,16055,533.247680664063,318332.3125,423.288055419922,44.5604671232
1133,16056,503.218902587891,1636763.25,109.224685668945,44.567802049867
1134,16057,486.216186523438,3069828.75,49.880874633789,44.56990236505
1135,16058,416.221588134766,1251910.75,98.908157348633,44.57101447465
1136,16059,495.758697509766,485340.8125,248.853225708008,44.572944111983
1137,16060,437.224914550781,3822104.25,59.09211730957,44.577407527183
1138,16061,496.721313476563,447375.4375,321.231903076172,44.578671788267
1139,16062,638.285278320313,714142.5,196.277420043945,44.5843043608
1140,16063,483.710205078125,3858756.25,51.142726898193,44.587854956533
1141,16065,423.227386474609,3435240.75,57.271495819092,44.592025044783
