,scan,precursormz,totalIonCurrent,injectTime,scanTime
1,13443,505.759307861328,124616.03125,22.0,35.520498051467
2,13445,505.759307861328,175638.671875,1980.691284179688,35.524583258667
3,13447,505.759307861328,180683.953125,1980.666381835938,35.560972333617
4,13449,505.759307861328,187478.9375,1980.733642578125,35.597349483483
5,13451,505.759307861328,219371.3125,1980.695556640625,35.63389680855
6,13453,505.759307861328,247261.765625,1980.67724609375,35.670451908
7,13455,505.759307861328,287324.15625,1980.67333984375,35.707166455483
8,13457,505.759307861328,327856.78125,1912.662841796875,35.743565100533
9,13459,505.759307861328,353748.28125,1676.2021484375,35.7789884635
10,13461,505.759307861328,300817.96875,1553.517822265625,35.810478813083
11,13463,505.759307861328,253820.65625,1826.866455078125,35.840072829067
12,13465,505.759307861328,213677.765625,1980.7001953125,35.874034901883
13,13467,505.759307861328,177129.046875,1980.689086914063,35.9107195216
14,13469,505.759307861328,157601.375,1980.7021484375,35.94738432215
15,13471,505.759307861328,149933.1875,1980.682861328125,35.983881742417
16,13473,505.759307861328,149542.671875,1980.684692382813,36.020264337083
17,13475,505.759307861328,144214.5,1980.637451171875,36.05681394055
18,13477,505.759307861328,142664.84375,1980.666015625,36.093455427733
19,13479,505.759307861328,137733.703125,1980.67529296875,36.130103839767
20,13481,505.759307861328,136137.734375,1980.655151367188,36.166746464533
21,13483,505.759307861328,138754.296875,1980.700439453125,36.203382191217
22,13485,505.759307861328,135684.5625,1980.685180664063,36.239858807217
23,13487,505.759307861328,137566.734375,1980.68212890625,36.276323249883
24,13489,505.759307861328,130358.6171875,1980.66845703125,36.31295505095
25,13491,505.759307861328,133533.203125,1980.67431640625,36.349590072
26,13493,505.759307861328,136148.75,1980.658081054688,36.386226786683
27,13495,505.759307861328,131456.9375,1980.683227539063,36.422874785617
28,13497,505.759307861328,130971.671875,1980.676147460938,36.45932612055
29,13499,505.759307861328,130814.03125,1980.670043945313,36.496121864283
30,13501,505.759307861328,132852.171875,1980.703491210938,36.532584137067
31,13503,505.759307861328,132052.671875,1980.675537109375,36.569055348
32,13505,505.759307861328,136850.375,1980.63671875,36.605688156283
33,13507,505.759307861328,136808.046875,1980.674682617188,36.64233368375
34,13509,505.759307861328,138689.140625,1980.653076171875,36.6788053139
35,13511,505.759307861328,142965.765625,1980.660278320313,36.715446512017
36,13513,505.759307861328,145144.234375,1980.720703125,36.752117697883
37,13515,505.759307861328,159777.125,1980.673950195313,36.788765024533
38,13517,505.759307861328,165497.015625,1980.669799804688,36.825420765883
39,13519,505.759307861328,175402.03125,1980.673583984375,36.862105850683
40,13521,505.759307861328,179563.953125,1980.678955078125,36.898798535733
41,13523,505.759307861328,181108.671875,1980.683715820313,36.935316595483
42,13525,505.759307861328,194970.5,1980.705200195313,36.971988607767
43,13527,505.759307861328,201159.5625,1980.6650390625,37.008671557083
44,13529,505.759307861328,216702.96875,1980.687133789063,37.045528964017
45,13531,505.759307861328,227552.453125,1980.715942382813,37.082230428283
46,13533,505.759307861328,258085.328125,1980.670288085938,37.118932171467
